id,auction_name,category_id,auction_price,auction_start_date,auction_start_time,auction_end_date,auction_end_time,description,min_price,auction_status,received_user_id,received_status,auction_guarantee_amount,guarantee_amount_status,user_id,auction_post_id,bid_price,date_time,auction_company_id,status,payment_status,category_name,category_created_at,category_status
1,Add User Auction,1,173,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",4,Active,4,Pending,5,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,All,01/03/25 11:20,Active
2,Company Auction,2,167,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",1,Active,2,Complete,3,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Automotive,01/03/25 11:20,Active
3,latest auction,3,755,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",4,Active,0,Pending,3,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Antiques,01/03/25 11:20,Active
4,institutions add auction,4,172,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",3,Active,1,Pending,0,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Books & Comic,01/03/25 11:20,Active
5,fghfdfgdfg,5,1005,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,3,Deactive,2,Pending,45,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Digital Art,01/03/25 11:21,Active
6,fghfdfgdfg,6,166,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,4,Deactive,5,Pending,46,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Real Estate,01/03/25 11:21,Active
8,Company Auction,8,168,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",3,Active,2,Complete,5,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Cars,01/03/25 11:21,Active
9,latest auction,9,747,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",5,Active,1,Pending,1,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Charity Auctions,01/03/25 11:21,Active
10,institutions add auction,10,172,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",1,Active,2,Pending,5,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Unique License Plates,01/03/25 11:21,Active
11,fghfdfgdfg,11,1000,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,2,Deactive,4,Pending,55,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Commercial Assets,01/03/25 11:21,Active
12,fghfdfgdfg,12,166,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,1,Deactive,1,Pending,53,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Vehicles and Heavy Equipment,01/03/25 11:21,Active
13,Add User Auction,13,169,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",3,Active,5,Pending,3,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Diverse Goods,01/03/25 11:21,Active
14,Company Auction,14,166,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",1,Active,2,Complete,2,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Rental Spaces,01/03/25 11:21,Active
15,latest auction,15,751,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",5,Active,5,Pending,4,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Jewelry,01/03/25 11:21,Active
16,institutions add auction,16,172,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",1,Active,2,Pending,2,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Horses and Livestock,01/03/25 11:21,Active
17,fghfdfgdfg ,17,1001,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,3,Deactive,0,Pending,48,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Digital Art,01/03/25 11:21,Active
18,fghfdfgdfg ,18,175,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,4,Deactive,2,Pending,47,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Real Estate,01/03/25 11:21,Active
20,Company Auction,20,173,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",1,Active,0,Complete,0,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Cars,01/03/25 11:21,Active
21,latest auction,21,748,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",4,Active,2,Pending,5,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Charity Auctions,01/03/25 11:21,Active
22,institutions add auction,22,175,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",0,Active,0,Pending,2,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Unique License Plates,01/03/25 11:21,Active
23,fghfdfgdfg ,23,1004,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,1,Deactive,3,Pending,52,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Commercial Assets,01/03/25 11:21,Active
24,fghfdfgdfg ,24,172,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,0,Deactive,1,Pending,55,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Vehicles and Heavy Equipment,01/03/25 11:21,Active
25,Add User Auction,25,172,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",0,Active,3,Pending,2,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Diverse Goods,01/03/25 11:21,Active
26,Company Auction,26,165,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",2,Active,2,Complete,5,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Rental Spaces,01/03/25 11:21,Active
27,latest auction,27,745,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",3,Active,3,Pending,5,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Jewelry,01/03/25 11:21,Active
28,institutions add auction,28,167,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",3,Active,3,Pending,4,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Horses and Livestock,01/03/25 11:21,Active
29,fghfdfgdfg,29,999,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,4,Deactive,1,Pending,53,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Automotive,01/03/25 11:21,Active
31,Add User Auction,31,167,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",4,Active,2,Pending,3,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Antiques,01/03/25 11:21,Active
32,Company Auction,32,175,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",3,Active,5,Complete,4,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Books & Comic,01/03/25 11:21,Active
33,latest auction,33,753,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",2,Active,1,Pending,3,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Digital Art,01/03/25 11:21,Active
34,institutions add auction,34,174,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",3,Active,2,Pending,0,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Real Estate,01/03/25 11:21,Active
35,fghfdfgdfg ,35,1002,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,2,Deactive,4,Pending,47,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Cars,01/03/25 11:21,Active
36,fghfdfgdfg ,36,174,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,1,Deactive,2,Pending,54,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Charity Auctions,01/03/25 11:21,Active
37,Add User Auction ,37,168,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",4,Active,5,Pending,0,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Unique License Plates,01/03/25 11:21,Active
38,Company Auction,38,169,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. 9",2,Active,3,Complete,4,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Commercial Assets,01/03/25 11:21,Active
39,latest auction,39,752,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",2,Active,4,Pending,3,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Vehicles and Heavy Equipment,01/03/25 11:21,Active
40,institutions add auction,40,174,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",3,Active,1,Pending,4,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Diverse Goods,01/03/25 11:21,Active
41,fghfdfgdfg ,41,1002,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,1,Deactive,5,Pending,50,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Rental Spaces,01/03/25 11:21,Active
43,Add User Auction,43,174,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",5,Active,5,Pending,1,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Jewelry,01/03/25 11:21,Active
44,Company Auction,44,165,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",1,Active,5,Complete,5,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Horses and Livestock,01/03/25 11:21,Active
45,latest auction,45,752,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",4,Active,1,Pending,3,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Digital Art,01/03/25 11:21,Active
46,institutions add auction,46,165,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",4,Active,5,Pending,4,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Real Estate,01/03/25 11:21,Active
47,fghfdfgdfg,47,1004,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,2,Deactive,2,Pending,52,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Cars,01/03/25 11:21,Active
48,fghfdfgdfg ,48,170,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,4,Deactive,3,Pending,53,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Charity Auctions,01/03/25 11:21,Active
49,Add User Auction ,49,168,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",2,Active,2,Pending,3,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Unique License Plates,01/03/25 11:21,Active
50,Company Auction ,50,175,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",2,Active,1,Complete,4,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Commercial Assets,01/03/25 11:21,Active
51,latest auction ,51,754,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",2,Active,5,Pending,1,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Vehicles and Heavy Equipment,01/03/25 11:21,Active
52,institutions add auction ,52,165,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",1,Active,4,Pending,5,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Diverse Goods,01/03/25 11:21,Active
54,fghfdfgdfg ,54,165,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,0,Deactive,2,Pending,45,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Rental Spaces,01/03/25 11:21,Active
55,Add User Auction ,55,175,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",0,Active,5,Pending,5,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Jewelry,01/03/25 11:21,Active
56,Company Auction ,56,174,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",5,Active,3,Complete,3,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Horses and Livestock,01/03/25 11:21,Active
57,latest auction ,57,751,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",3,Active,5,Pending,2,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Digital Art,01/03/25 11:21,Active
58,institutions add auction ,58,170,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",1,Active,2,Pending,2,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Real Estate,01/03/25 11:21,Active
59,fghfdfgdfg ,59,1005,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,3,Deactive,2,Pending,51,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Cars,01/03/25 11:21,Active
60,fghfdfgdfg ,60,173,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,2,Deactive,1,Pending,50,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Charity Auctions,01/03/25 11:21,Active
61,Add User Auction ,61,175,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",1,Active,1,Pending,3,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Unique License Plates,01/03/25 11:21,Active
62,Company Auction ,62,165,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",2,Active,0,Complete,4,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Commercial Assets,01/03/25 11:21,Active
63,latest auction ,63,755,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",5,Active,4,Pending,3,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Vehicles and Heavy Equipment,01/03/25 11:21,Active
65,fghfdfgdfg ,65,1003,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,3,Deactive,4,Pending,47,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Diverse Goods,01/03/25 11:21,Active
66,fghfdfgdfg ,66,165,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,1,Deactive,4,Pending,52,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Rental Spaces,01/03/25 11:21,Active
67,Add User Auction ,67,174,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",2,Active,0,Pending,5,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Jewelry,01/03/25 11:21,Active
68,Company Auction ,68,172,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. 9",0,Active,5,Complete,2,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Horses and Livestock,01/03/25 11:21,Active
69,latest auction ,69,749,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",4,Active,4,Pending,2,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Automotive,01/03/25 11:21,Active
70,institutions add auction ,70,171,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",5,Active,5,Pending,1,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Antiques,01/03/25 11:21,Active
71,fghfdfgdfg ,71,999,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,4,Deactive,5,Pending,55,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Books & Comic,01/03/25 11:21,Active
72,fghfdfgdfg ,72,174,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,2,Deactive,2,Pending,54,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Digital Art,01/03/25 11:21,Active
73,Add User Auction ,73,167,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",5,Active,0,Pending,3,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Real Estate,01/03/25 11:21,Active
74,Company Auction ,74,165,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",3,Active,5,Complete,5,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Cars,01/03/25 11:21,Active
75,latest auction ,75,746,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",2,Active,3,Pending,5,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Charity Auctions,01/03/25 11:21,Active
77,fghfdfgdfg ,77,1002,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,5,Deactive,2,Pending,55,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Unique License Plates,01/03/25 11:21,Active
78,fghfdfgdfg ,78,167,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,1,Deactive,2,Pending,45,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Commercial Assets,01/03/25 11:21,Active
79,Add User Auction ,79,171,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",2,Active,5,Pending,3,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Vehicles and Heavy Equipment,01/03/25 11:21,Active
80,Company Auction ,80,170,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",2,Active,4,Complete,0,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Diverse Goods,01/03/25 11:21,Active
81,latest auction ,81,754,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",0,Active,0,Pending,1,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Rental Spaces,01/03/25 11:21,Active
82,institutions add auction ,82,173,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",4,Active,4,Pending,4,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Jewelry,01/03/25 11:21,Active
83,fghfdfgdfg ,83,996,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,5,Deactive,5,Pending,49,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Horses and Livestock,01/03/25 11:21,Active
84,fghfdfgdfg ,84,167,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,2,Deactive,2,Pending,46,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Digital Art,01/03/25 11:21,Active
85,Add User Auction ,85,165,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",1,Active,5,Pending,3,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Real Estate,01/03/25 11:21,Active
86,Company Auction ,86,169,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",5,Active,5,Complete,3,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Cars,01/03/25 11:21,Active
88,institutions add auction ,88,168,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",2,Active,2,Pending,0,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Commercial Assets,01/03/25 11:21,Active
89,fghfdfgdfg ,89,1000,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,3,Deactive,0,Pending,49,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Vehicles and Heavy Equipment,01/03/25 11:21,Active
90,fghfdfgdfg ,90,171,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,5,Deactive,3,Pending,48,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Diverse Goods,01/03/25 11:21,Active
91,Add User Auction ,91,167,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",5,Active,4,Pending,3,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Rental Spaces,01/03/25 11:21,Active
92,Company Auction ,92,175,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",0,Active,1,Complete,4,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Jewelry,01/03/25 11:21,Active
93,latest auction ,93,751,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",5,Active,4,Pending,5,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Horses and Livestock,01/03/25 11:21,Active
94,institutions add auction ,94,171,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",4,Active,2,Pending,3,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Digital Art,01/03/25 11:21,Active
95,fghfdfgdfg ,95,1004,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,5,Deactive,5,Pending,51,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Real Estate,01/03/25 11:21,Active
96,fghfdfgdfg ,96,167,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,0,Deactive,5,Pending,55,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Cars,01/03/25 11:21,Active
97,Add User Auction ,97,168,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",5,Active,0,Pending,2,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Charity Auctions,01/03/25 11:21,Active
99,latest auction ,99,755,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",1,Active,2,Pending,5,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Unique License Plates,01/03/25 11:21,Active
100,institutions add auction ,100,167,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",1,Active,1,Pending,5,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Commercial Assets,01/03/25 11:21,Active
